Questions,Answers
Paano magsimula ng maliit na palayan kung baguhan pa lang?,"Magsimula sa maliit na sukat ng lupa para matutunan ang proseso.
Kumonsulta sa DA o PhilRice technician para sa gabay.
Gumamit ng matibay at recommended na variety ng binhi para sa inyong lugar.
Magbasa ng gabay mula sa PinoyRice, o sumali sa mga pagsasanay para sa baguhan.
Itala ang gastos at kita para matutunan ang tamang pagba-budget.
"
May tulong ba ang gobyerno para sa maliliit na magsasaka ng palay?,"Oo. May mga libreng binhi, pataba, training, at pautang mula sa DA, PhilRice, at iba pang ahensya tulad ng ACPC at TESDA.
Sumali sa kooperatiba o magparehistro sa Registry System for Basic Sectors in Agriculture (RSBSA) para maka-avail ng ayuda."
Paano malalaman kung kailan mag-spray ng pestisidyo?,"Obserbahan ang palay kada araw kung may peste o sintomas ng sakit.
Mag-spray lang kapag umabot sa threshold o dami ng peste na pwedeng makasira sa ani.
Huwag basta-basta mag-spray — gumamit ng tamang chemical at sundin ang recommended timing.
Pwede rin gumamit ng organic spray bilang alternatibo."
Ano ang mas maganda: mano-mano o makina sa pag-aani?,"Makina (combine harvester): mabilis, mas kaunti ang sayang, mas magaan sa katawan.
Mano-mano: maganda kung maliit lang ang bukid, pero mabagal at mas matrabaho.
Mas mainam ang makina kung malaki ang ani at gusto ng mas mabilis na proseso.
"
Paano makakaiwas sa pagkalugi sa pagbenta ng palay?,"Tuyuin nang maayos ang ani bago ibenta para hindi tumawad ang buyer.
I-monitor ang presyo at magbenta sa tamang panahon.
Magbenta bilang grupo o sa kooperatiba para mas mataas ang kita.
Magplano ng gastos at ani sa simula pa lang para alam kung kikita o hindi.
Iwasan ang over-reliance sa trader at humanap ng alternatibong buyer."
Puwede bang pagsabayin ang palay at ibang pananim sa iisang lupa?,"Oo, puwedeng pagsabayin ang palay sa ibang pananim, lalo na kung tapos na ang taniman ng palay. Halimbawa:
Pagkatapos mag-ani, maaaring magtanim ng munggo, mais, o gulay.
Sa palay na hindi lubog sa tubig, puwedeng taniman ng gulay sa pagitan (intercropping).
Mahalaga lang na ang pananim ay hindi magkakasakit o magkaka-agawan ng sustansya.
Nakakatulong ito sa pagpapayaman ng lupa at dagdag kita sa magsasaka"
Ano ang mga seminar o libreng training na inaalok ng DA para sa palay?,"Rice Production Training – tamang pagtatanim, irigasyon, at ani.
Farm Mechanization Training – paggamit ng makina sa taniman.
Organic Rice Farming – paggawa at paggamit ng organic fertilizer.
Integrated Pest Management (IPM) – natural na pag-kontrol ng peste.
Financial literacy at kooperatiba training para sa dagdag kita.
Makipag-ugnayan sa inyong Municipal Agriculture Office o DA Regional Office para sa schedule."
Ano ang proseso ng pag-post harvest ng palay?,"Pag-aani – gamit ang kamay o combine harvester.
Pagbibilad o pagpapatuyo – sa tamang moisture (14%).
Paglilinis ng dayami at dumi – para mas malinis ang butil.
Pag-iimbak – sa tuyong lalagyan o sako.
Pagbebenta o paggiling – depende kung ibebenta bilang palay o bigas.
"
saan dapat itago ang binhi para hindi masira?,"Ilagay sa malamig, tuyo, at madilim na lugar.
Gumamit ng airtight na lalagyan o sako na may label ng variety at petsa.
Iwasang ma-expose sa damp o basang lugar upang hindi tumubo o mabulok.
Iwasan ang init at direktang sikat ng araw."
Paano malaman kung mayroong nutrient deficiency ang palay?,"Dilaw o maputlang dahon – kakulangan sa nitrogen.
Lila o mapulang kulay – kulang sa phosphorus.
Bilog na dilaw sa gilid ng dahon – kulang sa potassium.
Pagbagsak ng bunga o bunga na kulang sa laman – maaaring senyales ng kakulangan sa micronutrients.
Maaring magpasuri ng lupa para sa tamang diagnosis."
Anong mga hakbang ang dapat gawin bago magtanim ng palay sa bagong bukirin?,"Suriin ang lupa – alamin ang pH at klase nito.
Linis-bukid – tanggalin ang damo at mga sagabal.
Mag-araro o harrow – ayusin ang lupa para madaling tubuan.
Patubig – ayusin kung paano papasok at lalabas ang tubig.
Maghanda ng binhi – siguraduhing dekalidad.
Gumamit ng compost kung available."
Paano tiyakin na may sapat na irigasyon sa palayan?,"Gumamit ng irrigation canals o alternate wetting and drying (AWD).
I-check kung pantay ang distribusyon ng tubig sa palayan.
Gumamit ng gate o control structures para sa tubig.
Magtipid sa tubig sa pamamagitan ng tamang iskedyul ng patubig."
Ano ang mga simpleng paraan para gawing organikong palayan?,"Gumamit ng compost at vermicast mula sa mga dayami o kitchen waste.
Gamitin ang biofertilizer gaya ng Azolla o Rhizobium.
Gumawa ng fermented plant juice (FPJ) o calcium-based spray.
Huwag gumamit ng kemikal – panatilihing natural ang pataba at pantaboy-peste.
Mag-apply sa DA para sa organic farming training o sertipikasyon."
Puwede bang magtanim ng palay sa tag-ulan?,"Oo. Sa katunayan, maraming magsasaka ang nagtatanim ng palay sa wet season o tag-ulan (Hunyo–Oktubre).
Gumamit ng variety na matibay sa ulan at baha.
Siguraduhing may maayos na drainage ang bukid para hindi ma-lubog sa baha.
Maging handa sa bagyo at pagtaas ng tubig sa panahon ng tag-ulan.
"
Ano ang mga warning signs na may sakit na ang palay?,"Pagdilaw ng dahon o pagkatuyo.
Butas-butas o may batik sa dahon.
Hindi pantay ang tubo o may tumamlay.
Maliit o walang laman ang butil ng palay.
May amag, uod, o insekto sa ilalim ng halaman.
Kapag nakita ito, agad kumonsulta sa technician o local agriculturist para sa tamang aksyon.
"
